Input	ID_Name_1	ID_CAS_Nr_1	ID_EG_Nr	ID_EG_Annex_Nr	Boiling_Point_Minimum_°C	Melting_Point_Minimum_°C	Flash_Point_Minimum_°C	Vapour_Pressure_25°C_mmHg	Density_25°C_Minimum_kg/L	Viscosity_25°C_Minimum_mPa.s
DataType	string	string	string	string	numeric	numeric	numeric	numeric	numeric	numeric
PARIS III	propane-1,2-diamine	78-90-0	201-155-9	NAV	119.5	6.93	33.3	1.06E+01	0.86	1.58
PARIS III	2-butanol	78-92-2	201-158-5	NAV	99.5	-114.7	26	1.83E+01	0.8	3.65
PARIS III	butan-2-one	78-93-3	201-159-0	NAV	79.5	-86.6	9	9.08E+00	0.79	0.4
PARIS III	but-3-en-2-one	78-94-4	201-160-6	NAV	81.4	-78.25	-7	1.03E+01	0.86	0.28
PARIS III	1-chloranylpropan-2-one	78-95-5	201-161-1	NAV	119	-44.5	27.8	1.20E+01	1.16	0.77
PARIS III	2-oxidanylpropanenitrile	78-97-7	NAV	NAV	183	-40	48.75	1.20E-01	0.99	6.39
PARIS III	2-oxidanylidenepropanal	78-98-8	201-164-8	NAV	72	2.26	35.57	5.55E+01	1.05	0.63
PARIS III	1,1-bis(chloranyl)propane	78-99-9	NAV	NAV	88.1	-103.12	7.33	6.83E+01	1.12	0.39
PARIS III	1,1,2-tris(chloranyl)ethane	79-00-5	201-166-9	NAV	113.8	-36.6	31.03	2.30E+01	1.44	0.92
PARIS III	1,1,2-tris(chloranyl)ethene	79-01-6	201-167-4	NAV	87.2	-84.7	12.1	6.90E+01	1.46	0.53
PARIS III	2,2-bis(chloranyl)ethanal	79-02-7	NAV	NAV	89.2	-37.5	39.84	5.54E+01	1.43	0.57
PARIS III	propanoyl chloride	79-03-8	201-170-0	NAV	80	-94	11.7	7.65E+00	1.07	0.45
PARIS III	2-chloranylethanoyl chloride	79-04-9	201-171-6	NAV	106	-22	34	2.52E+01	1.39	0.86
PARIS III	propanoic acid	79-09-4	201-176-3	NAV	141.1	-20.7	57.7	3.53E+00	1.02	1.03
PARIS III	prop-2-enoic acid	79-10-7	201-177-9	NAV	141.2	13.5	68	3.97E+00	1.05	1.16
PARIS III	methyl ethanoate	79-20-9	201-185-2	NAV	56.8	-98	6.6	2.16E+01	0.91	0.36
PARIS III	methyl carbonochloridate	79-22-1	NAV	NAV	70.5	-61	7.8	3.63E+01	1.24	0.76
PARIS III	1-nitroethane	79-24-3	201-188-9	NAV	114	-89.5	32.8	2.08E+01	1.01	0.64
PARIS III	1,1,2,2-tetrakis(bromanyl)ethane	79-27-6	201-191-5	NAV	243.5	0	97	2.00E-02	2.97	9.68
PARIS III	2,3-dimethylbutane	79-29-8	201-193-6	NAV	57.9	-128.8	-34.18	2.35E+01	0.66	0.36
PARIS III	2-methylpropanoyl chloride	79-30-1	201-194-1	NAV	92	-90	1.1	4.34E+01	1.03	0.69
PARIS III	2-methylpropanoic acid	79-31-2	201-195-7	NAV	154.4	-46	58.2	1.81E+00	0.98	1.23
PARIS III	1,1,2,2-tetrakis(chloranyl)ethane	79-34-5	201-197-8	NAV	146.5	-43.8	46.73	4.62E+00	1.59	1.57
PARIS III	2,2-bis(chloranyl)ethanoyl chloride	79-36-7	201-199-9	NAV	108	-40.86	31.8	2.30E+01	1.58	1.17
PARIS III	2-methylprop-2-enoic acid	79-41-4	201-204-4	NAV	163	16	74.17	9.90E-01	1.02	1.32
PARIS III	2-sulfanylpropanoic acid	79-42-5	NAV	NAV	184.88	12	78.43	8.03E-02	1.23	2.88
PARIS III	2,2-bis(chloranyl)ethanoic acid	79-43-6	NAV	NAV	194	13.5	75.55	1.80E-01	1.63	4.98
PARIS III	N,N-dimethylcarbamoyl chloride	79-44-7	NAV	NAV	167	-33	68.3	1.95E+00	1.17	0.82
PARIS III	2-nitropropane	79-46-9	NAV	NAV	120.2	-91.3	28	1.73E+01	0.99	0.72
PARIS III	1,1,3-tris(chloranyl)-1,3,3-tris(fluoranyl)propan-2-one	79-52-7	NAV	NAV	76.77	-54.28	22.1	3.34E+01	1.71	0.69
PARIS III	1,2,2,6,6-pentamethylpiperidine	79-55-0	NAV	NAV	147	-0.94	50	4.66E+00	0.8	3.96
PARIS III	4-(2-azanylpropan-2-yl)-1-methyl-cyclohexan-1-amine	80-52-4	NAV	NAV	225.53	-45	93.3	2.20E-03	0.91	13.38
PARIS III	3-(4-tert-butylphenyl)butanal	80-54-6	NAV	NAV	282.09	22.88	108	2.96E-03	0.95	2.53
PARIS III	()-alpha-Pinene	80-56-8	NAV	NAV	155.9	-64	32.22	4.75E+00	0.88	2.27
PARIS III	2-bromanylbutanoic acid	80-58-0	NAV	NAV	216.03	-4	84.8	9.98E-02	1.62	4.49
PARIS III	methyl 2-methylprop-2-enoate	80-62-6	NAV	NAV	100.5	-48	10	3.85E+01	0.91	0.88918
PARIS III	methyl 2-chloranylprop-2-enoate	80-63-7	NAV	NAV	118.54	-59.21	NAV	2.14E+01	NAV	1.148
PARIS III	1,3-dimethylimidazolidin-2-one	80-73-9	NAV	NAV	221	8.2	76.5	1.73E+00	1.06	2.21
